 Run datum (DD-MM-YY) and time: 5-10-2022   8:54

 Case name                                     



 Maxima per event

 Event   Start     Node identification   Node           Maximum_flow  
  nr  year-mon-day                       name               [m3/s]
===========================================================================
   1 1951 Jan   1   pcGPG-O-17760        pcGPG-O-17760          0.053
   1 1951 Jan   1   pcGPG-O-17680        pcGPG-O-17680          0.197
   1 1951 Jan   1   pcGPG-O-17780        pcGPG-O-17780          0.699
   1 1951 Jan   1   pcGPG-O-17820        pcGPG-O-17820          0.002
   1 1951 Jan   1   pcGPG-O-17670        pcGPG-O-17670          0.014
   1 1951 Jan   1   pcGPG-O-17755        pcGPG-O-17755          0.244
   1 1951 Jan   1   pcGPG-O-17810        pcGPG-O-17810          0.182
   1 1951 Jan   1   pcGPG-O-17660        pcGPG-O-17660          1.187
   1 1951 Jan   1   pcGPG-O-17790        pcGPG-O-17790          0.132
   1 1951 Jan   1   pcGPG-O-17740        pcGPG-O-17740          0.051
   1 1951 Jan   1   pcGPG-O-17685        pcGPG-O-17685          0.184
   1 1951 Jan   1   pcGPG-O-11860        pcGPG-O-11860          0.722
   1 1951 Jan   1   pcGPG-O-17770        pcGPG-O-17770          0.252
   1 1951 Jan   1   pcGPG-O-11730        pcGPG-O-11730          0.045
   1 1951 Jan   1   pcGPG-O-17700        pcGPG-O-17700          0.029
   1 1951 Jan   1   pcGPG-O-17730        pcGPG-O-17730          0.285
   1 1951 Jan   1   pcGPG-O-17750        pcGPG-O-17750          0.524
   1 1951 Jan   1   pcGPG-O-17710        pcGPG-O-17710          0.124
   1 1951 Jan   1   pcGPG-O-17690        pcGPG-O-17690          0.814
   1 1951 Jan   1   gcGPG-O-17680        gcGPG-O-17680          0.004
   1 1951 Jan   1   gcGPG-O-17660        gcGPG-O-17660          0.011
   1 1951 Jan   1   gcGPG-O-11730        gcGPG-O-11730          0.025
   1 1951 Jan   1   gcGPG-O-17750        gcGPG-O-17750          0.002
   1 1951 Jan   1   gcGPG-O-17690        gcGPG-O-17690          0.058
